Block,Prompt style,Run,Kind,Attempt,HDL path,Compile,Passed,Total,Success,Model,Max output tokens,Prompt tokens,Completion tokens,Record prefix
regfile,constraints,run-02,rtl,0,02_hdl/history/regfile/constraints/run-02/rtl_00.sv,True,39,39,True,gpt-5.4-2026-03-05,8192,1254,328,03_records/experiment/regfile/constraints/run-02/rtl_00
regfile,constraints,run-02,tb,0,02_hdl/history/regfile/constraints/run-02/tb_00.sv,True,504,504,True,gpt-5.4-2026-03-05,8192,1750,3698,03_records/experiment/regfile/constraints/run-02/tb_00
regfile,direct,run-01,rtl,0,02_hdl/history/regfile/direct/run-01/rtl_00.sv,True,39,39,True,gpt-5.4-2026-03-05,8192,1174,338,03_records/experiment/regfile/direct/run-01/rtl_00
regfile,direct,run-01,tb,0,02_hdl/history/regfile/direct/run-01/tb_00.sv,True,516,520,False,gpt-5.4-2026-03-05,8192,1750,3710,03_records/experiment/regfile/direct/run-01/tb_00
regfile,direct,run-01,tb,1,02_hdl/history/regfile/direct/run-01/tb_01.sv,True,526,526,True,gpt-5.4-2026-03-05,8192,5832,3868,03_records/experiment/regfile/direct/run-01/tb_01
regfile,direct,run-02,rtl,0,02_hdl/history/regfile/direct/run-02/rtl_00.sv,True,39,39,True,gpt-5.4-2026-03-05,8192,1174,338,03_records/experiment/regfile/direct/run-02/rtl_00
regfile,direct,run-02,tb,0,02_hdl/history/regfile/direct/run-02/tb_00.sv,False,,,False,gpt-5.4-2026-03-05,8192,1750,3433,03_records/experiment/regfile/direct/run-02/tb_00
regfile,direct,run-02,tb,1,02_hdl/history/regfile/direct/run-02/tb_01.sv,False,,,False,gpt-5.4-2026-03-05,8192,5351,4024,03_records/experiment/regfile/direct/run-02/tb_01
regfile,direct,run-02,tb,2,02_hdl/history/regfile/direct/run-02/tb_02.sv,True,2422,2422,True,gpt-5.4-2026-03-05,8192,5944,4018,03_records/experiment/regfile/direct/run-02/tb_02
regfile,template,run-01,rtl,0,02_hdl/history/regfile/template/run-01/rtl_00.sv,True,39,39,True,gpt-5.4-2026-03-05,8192,1221,401,03_records/experiment/regfile/template/run-01/rtl_00
regfile,template,run-01,tb,0,02_hdl/history/regfile/template/run-01/tb_00.sv,True,504,504,True,gpt-5.4-2026-03-05,8192,1750,3698,03_records/experiment/regfile/template/run-01/tb_00
regfile,template,run-02,rtl,0,02_hdl/history/regfile/template/run-02/rtl_00.sv,True,39,39,True,gpt-5.4-2026-03-05,8192,1221,401,03_records/experiment/regfile/template/run-02/rtl_00
regfile,template,run-02,tb,0,02_hdl/history/regfile/template/run-02/tb_00.sv,True,504,504,True,gpt-5.4-2026-03-05,8192,1750,3698,03_records/experiment/regfile/template/run-02/tb_00
